"Item","Total","Missing","Available"
"Spruce Fence",1,1,0
"Spruce Fence Gate",1,1,0
"Spruce Leaves",1,1,0
"Spruce Log",1,1,0
"Spruce Planks",1,1,0
"Spruce Pressure Plate",1,1,0
"Spruce Sapling",1,1,0
"Spruce Sign",1,1,0
"Spruce Slab",1,1,0
"Spruce Stairs",1,1,0
"Spruce Trapdoor",1,1,0
"Spruce Wood",1,1,0
"Sticky Piston",1,1,0
"Stone",1,1,0
"Stone Brick Slab",1,1,0
"Stone Brick Stairs",1,1,0
"Stone Brick Wall",1,1,0
"Stone Bricks",1,1,0
"Stone Button",1,1,0
"Stone Pressure Plate",1,1,0
"Stone Slab",1,1,0
"Stone Stairs",1,1,0
"String",1,1,0
"Stripped Acacia Log",1,1,0
"Stripped Acacia Wood",1,1,0
"Stripped Birch Log",1,1,0
"Stripped Birch Wood",1,1,0
"Stripped Crimson Hyphae",1,1,0
"Stripped Crimson Stem",1,1,0
"Stripped Dark Oak Log",1,1,0
"Stripped Dark Oak Wood",1,1,0
"Stripped Jungle Log",1,1,0
"Stripped Jungle Wood",1,1,0
"Stripped Mangrove Log",1,1,0
"Stripped Mangrove Wood",1,1,0
"Stripped Oak Log",1,1,0
"Stripped Oak Wood",1,1,0
"Stripped Spruce Log",1,1,0
"Stripped Spruce Wood",1,1,0
"Stripped Warped Hyphae",1,1,0
"Stripped Warped Stem",1,1,0
"TNT",1,1,0
"Target",1,1,0
"Tinted Glass",1,1,0
"Torch",1,1,0
"Trapped Chest",1,1,0
"Tuff",1,1,0
"Verdant Froglight",1,1,0
"Warped Button",1,1,0
"Warped Fence",1,1,0
"Warped Fence Gate",1,1,0
"Warped Fungus",1,1,0
"Warped Hyphae",1,1,0
"Warped Nylium",1,1,0
"Warped Planks",1,1,0
"Warped Pressure Plate",1,1,0
"Warped Sign",1,1,0
"Warped Slab",1,1,0
"Warped Stairs",1,1,0
"Warped Stem",1,1,0
"Warped Trapdoor",1,1,0
"Warped Wart Block",1,1,0
"Wet Sponge",1,1,0
"White Carpet",1,1,0
"White Concrete",1,1,0
"White Concrete Powder",1,1,0
"White Glazed Terracotta",1,1,0
"White Stained Glass Pane",1,1,0
"Wither Rose",1,1,0
"Wither Skeleton Skull",1,1,0
"Yellow Carpet",1,1,0
"Yellow Concrete",1,1,0
"Yellow Concrete Powder",1,1,0
"Yellow Glazed Terracotta",1,1,0
"Yellow Stained Glass",1,1,0
"Yellow Stained Glass Pane",1,1,0
"Yellow Wool",1,1,0
